Constituency,Const. No.,Parliament Constituency,Leading Candidate,Trailing Candidate,Margin,Status,State ID,Country
Bardhaman Purba,38,BARDHAMANPURBA(38),DR. SHARMILA SARKAR,ASIM KUMAR SARKAR,160572,Result Declared,S25,India
Narsaraopet,14,NARSARAOPET(14),LAVU SRIKRISHNA DEVARAYALU,ANIL KUMAR POLUBOINA,159729,Result Declared,S01,India
Baghpat,11,BAGHPAT(11),DR RAJKUMAR SANGWAN,AMARPAL,159459,Result Declared,S24,India
Nandurbar,1,NANDURBAR(1),ADV GOWAAL KAGADA PADAVI,DR HEENA VIJAYKUMAR GAVIT,159120,Result Declared,S13,India
Baramati,35,BARAMATI(35),SUPRIYA SULE,SUNETRA AJITDADA PAWAR,158333,Result Declared,S13,India
Sabarkantha,5,SABARKANTHA(5),SHOBHANABEN MAHENDRASINH BARAIYA,CHAUDHARI TUSHAR AMARSINH,155682,Result Declared,S06,India
Tura,2,TURA(2),SALENG A SANGMA,AGATHA K SANGMA,155241,Result Declared,S15,India
Kolhapur,47,KOLHAPUR(47),CHHATRAPATI SHAHU SHAHAJI,SANJAY SADASHIVRAO MANDLIK,154964,Result Declared,S13,India
Patna Sahib,30,PATNASAHIB(30),RAVI SHANKAR PRASAD,ANSHUL AVIJIT,153846,Result Declared,S04,India
Varanasi,77,VARANASI(77),NARENDRA MODI,AJAY RAI,152513,Result Declared,S24,India
Madhubani,6,MADHUBANI(6),ASHOK KUMAR YADAV,MD ALI ASHRAF FATMI,151945,Result Declared,S04,India
Nagina,5,NAGINA(5),CHANDRASHEKHAR,OM KUMAR,151473,Result Declared,S24,India
Kollam,18,KOLLAM(18),N K PREMACHANDRAN,M MUKESH,150302,Result Declared,S11,India
Khunti,11,KHUNTI(11),KALI CHARAN MUNDA,ARJUN MUNDA,149675,Result Declared,S27,India
Dakshina Kannada,17,DAKSHINAKANNADA(17),CAPTAIN BRIJESH CHOWTA,PADMARAJ.R.POOJARY,149208,Result Declared,S10,India
Kaiserganj,57,KAISERGANJ(57),KARAN BHUSHAN SINGH,BHAGAT RAM,148843,Result Declared,S24,India
Koraput,21,KORAPUT(21),SAPTAGIRI SANKAR ULAKA,KAUSALYA HIKAKA,147744,Result Declared,S18,India
Diphu,6,DIPHU(6),AMARSING TISSO,J. I. KATHAR,147603,Result Declared,S03,India
Balasore,6,BALASORE(6),PRATAP CHANDRA SARANGI,LEKHASRI SAMANTSINGHAR,147156,Result Declared,S18,India
Kozhikode,5,KOZHIKODE(5),M. K. RAGHAVAN,ELAMARAM KAREEM,146176,Result Declared,S11,India
RAJGARH,20,RAJGARH(20),RODMAL NAGAR,DIGVIJAYA SINGH,146089,Result Declared,S12,India
MAHASAMUND,9,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,TAMRADHWAJ SAHU,145456,Result Declared,S26,India
Jorhat,14,JORHAT(14),GAURAV GOGOI,TOPON KUMAR GOGOI,144393,Result Declared,S03,India
Jahanabad,36,JAHANABAD(36),SURENDRA PRASAD YADAV,CHANDESHWAR PRASAD,142591,Result Declared,S04,India
Gadchiroli - Chimur,12,GADCHIROLI-CHIMUR(12),DR. KIRSAN NAMDEO,ASHOK  MAHADEORAO NETE,141696,Result Declared,S13,India
Shirur,36,SHIRUR(36),DR. AMOL RAMSING KOLHE,ADHALRAO SHIVAJI DATTATREY,140951,Result Declared,S13,India
Mysore,21,MYSORE(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,M. LAKSHMANA,139262,Result Declared,S10,India
Lohardaga,12,LOHARDAGA(12),SUKHDEO BHAGAT,SAMIR ORAON,139138,Result Declared,S27,India
Sundargarh,2,SUNDARGARH(2),JUAL ORAM,DILIP KUMAR TIRKEY,138808,Result Declared,S18,India
North-East Delhi,2,NORTH-EASTDELHI(2),MANOJ TIWARI,KANHAIYA KUMAR,138778,Result Declared,U05,India
Bardhaman-Durgapur,39,BARDHAMAN-DURGAPUR(39),AZAD KIRTI JHA,DILIP GHOSH,137981,Result Declared,S25,India
Nagpur,10,NAGPUR(10),NITIN JAIRAM GADKARI,VIKAS THAKRE,137603,Result Declared,S13,India
Ambedkar Nagar,55,AMBEDKARNAGAR(55),LALJI VERMA,RITESH PANDEY,137247,Result Declared,S24,India
Paschim Champaran,2,PASCHIMCHAMPARAN(2),DR.SANJAY JAISWAL,MADAN MOHAN TIWARI,136568,Result Declared,S04,India
PUDUCHERRY,1,PUDUCHERRY(1),VE VAITHILINGAM,A NAMASSIVAYAM,136516,Result Declared,U07,India
JAMMU,5,JAMMU(5),JUGAL KISHORE,RAMAN BHALLA,135498,Result Declared,U08,India
Junagadh,13,JUNAGADH(13),CHUDASAMA RAJESHBHAI NARANBHAI,JOTVA HIRABHAI ARJANBHAI,135494,Result Declared,S06,India
Lucknow,35,LUCKNOW(35),RAJ NATH SINGH,RAVIDAS MEHROTRA,135159,Result Declared,S24,India
KHARGONE,27,KHARGONE(27),GAJENDRA SINGH PATEL,PORLAL BATHA KHARTE,135018,Result Declared,S12,India
Aurangabad,19,AURANGABAD(19),BHUMARE SANDIPANRAO ASARAM,IMTIAZ JALEEL SYED,134650,Result Declared,S13,India
Parbhani,17,PARBHANI(17),JADHAV SANJAY ( BANDU ) HARIBHAU,JANKAR MAHADEV JAGANNATH,134061,Result Declared,S13,India
Kalahandi,11,KALAHANDI(11),MALVIKA DEVI,LAMBODAR NIAL,133813,Result Declared,S18,India
Idukki,13,IDUKKI(13),ADV. DEAN KURIAKOSE,ADV. JOICE GEORGE,133727,Result Declared,S11,India
Bolangir,10,BOLANGIR(10),SANGEETA KUMARI SINGH DEO,SURENDRA SINGH BHOI,132664,Result Declared,S18,India
Hindupur,20,HINDUPUR(20),B K PARTHASARATHI,J SHANTHA,132427,Result Declared,S01,India
Peddapalle,2,PEDDAPALLE(2),VAMSI KRISHNA GADDAM,SRINIVAS GOMASE,131364,Result Declared,S29,India
Robertsganj,80,ROBERTSGANJ(80),CHHOTELAL,RINKI SINGH,129234,Result Declared,S24,India
Bidar,7,BIDAR(7),SAGAR ESHWAR KHANDRE,BHAGWANTH KHUBA,128875,Result Declared,S10,India
Maldaha Dakshin,8,MALDAHADAKSHIN(8),ISHA KHAN CHOUDHURY,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),128368,Result Declared,S25,India
Gopalganj,17,GOPALGANJ(17),DR. ALOK KUMAR SUMAN,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,127180,Result Declared,S04,India
TIRUPPUR,18,TIRUPPUR(18),"SUBBARAYAN, K.","ARUNACHALAM, P.",125928,Result Declared,S22,India
Ghazipur,75,GHAZIPUR(75),AFZAL ANSARI,PARS NATH RAI,124861,Result Declared,S24,India
UDHAMPUR,4,UDHAMPUR(4),DR JITENDRA SINGH,CH LAL SINGH,124373,Result Declared,U08,India
South Delhi,7,SOUTHDELHI(7),RAMVIR SINGH BIDHURI,SAHI RAM,124333,Result Declared,U05,India
Pune,34,PUNE(34),MURLIDHAR MOHOL,DHANGEKAR RAVINDRA HEMRAJ,123038,Result Declared,S13,India
Sambhal,8,SAMBHAL(8),ZIA UR REHMAN,PARMESHWAR LAL SAINI,121494,Result Declared,S24,India
Madha,43,MADHA(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,RANJEETSINGH HINDURAO NAIK NIMBALKAR,120837,Result Declared,S13,India
Ranchi,8,RANCHI(8),SANJAY SETH,YASHASWINI SAHAY,120512,Result Declared,S27,India
Sambalpur,3,SAMBALPUR(3),DHARMENDRA PRADHAN,PRANAB PRAKASH DAS,119836,Result Declared,S18,India
BARMER,17,BARMER(17),UMMEDA RAM BENIWAL,RAVINDRA SINGH BHATI,118176,Result Declared,S20,India
COIMBATORE,20,COIMBATORE(20),GANAPATHY RAJKUMAR P,ANNAMALAI K,118068,Result Declared,S22,India
Jangipur,9,JANGIPUR(9),KHALILUR RAHAMAN,MURTOJA HOSSAIN BOKUL,116637,Result Declared,S25,India
North Goa,1,NORTHGOA(1),SHRIPAD YESSO NAIK,RAMAKANT KHALAP,116015,Result Declared,S05,India
JODHPUR,16,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,KARAN SINGH UCHIYARDA,115677,Result Declared,S20,India
Lalganj,68,LALGANJ(68),DAROGA PRASAD SAROJ,NEELAM SONKER,115023,Result Declared,S24,India
Vadakara,3,VADAKARA(3),SHAFI PARAMBIL,K K SHAILAJA TEACHER,114506,Result Declared,S11,India
Barasat,17,BARASAT(17),KAKOLI GHOSH DASTIDAR,SWAPAN MAJUMDER,114189,Result Declared,S25,India
CHHINDWARA,16,CHHINDWARA(16),BUNTY VIVEK SAHU,NAKUL KAMALNATH,113618,Result Declared,S12,India
Dindori,20,DINDORI(20),BHASKAR MURLIDHAR BHAGARE,DR. BHARATI PRAVIN PAWAR,113199,Result Declared,S13,India
Jamui,40,JAMUI(40),ARUN BHARTI,ARCHANA KUMARI,112482,Result Declared,S04,India
Nandyal,17,NANDYAL(17),DR BYREDDY SHABARI,POCHA BRAHMANANDA REDDY,111975,Result Declared,S01,India
Kurnoolu,18,KURNOOLU(18),BASTIPATI NAGARAJU PANCHALINGALA,B Y RAMAIAH,111298,Result Declared,S01,India
Jalna,18,JALNA(18),KALYAN VAIJINATHRAO KALE,DANVE RAOSAHEB DADARAO,109958,Result Declared,S13,India
Inner Manipur,1,INNERMANIPUR(1),ANGOMCHA BIMOL AKOIJAM,THOUNAOJAM BASANTA KUMAR SINGH,109801,Result Declared,S14,India
Nizamabad,4,NIZAMABAD(4),ARVIND DHARMAPURI,JEEVANREDDY THATIPARTHI,109241,Result Declared,S29,India
Kannur,2,KANNUR(2),K. SUDHAKARAN,M.V. JAYARAJAN,108982,Result Declared,S11,India
Hingoli,15,HINGOLI(15),AASHTIKAR PATIL NAGESH BAPURAO,BABURAO KADAM KOHALIKAR,108602,Result Declared,S13,India
Karakat,35,KARAKAT(35),RAJA RAM SINGH,PAWAN SINGH,105858,Result Declared,S04,India
Moradabad,6,MORADABAD(6),RUCHI VIRA,KUNWAR SARVESH KUMAR,105762,Result Declared,S24,India
Bhagalpur,26,BHAGALPUR(26),AJAY KUMAR MANDAL,AJEET SHARMA,104868,Result Declared,S04,India
Puri,17,PURI(17),SAMBIT PATRA,ARUP MOHAN PATNAIK,104709,Result Declared,S18,India
Kaushambi,50,KAUSHAMBI(50),PUSHPENDRA SAROJ,VINOD KUMAR SONKAR,103944,Result Declared,S24,India
MANDLA,14,MANDLA(14),FAGGAN SINGH KULASTE,OMKAR SINGH MARKAM,103846,Result Declared,S12,India
Banka,27,BANKA(27),GIRIDHARI YADAV,JAI PRAKASH NARAYAN YADAV,103844,Result Declared,S04,India
CHIDAMBARAM,27,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,CHANDRAHASAN M,103554,Result Declared,S22,India
Gorakhpur,64,GORAKHPUR(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,KAJAL NISHAD,103526,Result Declared,S24,India
Maharajganj,19,MAHARAJGANJ(19),"JANARDAN SINGH ""SIGRIWAL""",AAKASH KUMAR SINGH,102651,Result Declared,S04,India
Jhansi,46,JHANSI(46),ANURAG SHARMA,"PRADEEP JAIN ""ADITYA""",102614,Result Declared,S24,India
Godda,3,GODDA(3),NISHIKANT DUBEY,PRADEEP YADAV,101813,Result Declared,S27,India
Gaya,38,GAYA(38),JITAN RAM MANJHI,KUMAR SARVJEET,101812,Result Declared,S04,India
Basti,61,BASTI(61),RAM PRASAD CHAUDHARY,HARISH CHANDRA ALIAS HARISH DWIVEDI,100994,Result Declared,S24,India
Arunachal West,1,ARUNACHALWEST(1),KIREN RIJIJU,NABAM TUKI,100738,Result Declared,S02,India
Kasaragod,1,KASARAGOD(1),RAJMOHAN UNNITHAN,M.V BALAKRISHNAN MASTER,100649,Result Declared,S11,India
Sangli,44,SANGLI(44),VISHAL (DADA) PRAKASHBAPU PATIL,SANJAY (KAKA) PATIL,100053,Result Declared,S13,India
Aska,19,ASKA(19),ANITA SUBHADARSHINI,RANJITA SAHU,99974,Result Declared,S18,India
Jaunpur,73,JAUNPUR(73),BABU SINGH KUSHWAHA,KRIPASHANKAR SINGH,99335,Result Declared,S24,India
Bellary,9,BELLARY(9),E. TUKARAM,B. SREERAMULU,98992,Result Declared,S10,India
KARAULI-DHOLPUR,10,KARAULI-DHOLPUR(10),BHAJAN LAL JATAV,INDU DEVI,98945,Result Declared,S20,India
Valmiki Nagar,1,VALMIKINAGAR(1),SUNIL KUMAR,DEEPAK YADAV,98675,Result Declared,S04,India
Dharwad,11,DHARWAD(11),PRALHAD JOSHI,VINOD ASOOTI,97324,Result Declared,S10,India
Keonjhar,4,KEONJHAR(4),ANANTA NAYAK,DHANURJAYA SIDU,97042,Result Declared,S18,India
Maval,33,MAVAL(33),SHRIRANG APPA CHANDU BARNE,SANJOG BHIKU WAGHERE PATIL,96615,Result Declared,S13,India
Yavatmal- Washim,14,YAVATMAL-WASHIM(14),SANJAY UTTAMRAO DESHMUKH,RAJSHRITAI HEMANT PATIL (MAHALLE),94473,Result Declared,S13,India
Nagarkurnool,12,NAGARKURNOOL(12),DR.MALLU RAVI,BHARATH  PRASAD POTHUGANTI,94414,Result Declared,S29,India
East Delhi,3,EASTDELHI(3),HARSH MALHOTRA,KULDEEP KUMAR (MONU),93663,Result Declared,U05,India
Siwan,18,SIWAN(18),VIJAYLAKSHMI DEVI,HENA SHAHAB,92857,Result Declared,S04,India
Kolkata Uttar,24,KOLKATAUTTAR(24),BANDYOPADHYAY SUDIP,TAPAS ROY,92560,Result Declared,S25,India
Sant Kabir Nagar,62,SANTKABIRNAGAR(62),LAXMIKANT PAPPU NISHAD,PRAVIN KUMAR NISHAD,92170,Result Declared,S24,India
Bhadrak,7,BHADRAK(7),AVIMANYU SETHI,MANJULATA MANDAL,91544,Result Declared,S18,India
SHIMLA,4,SHIMLA(4),Suresh Kumar Kashyap,Vinod Sultanpuri,91451,Result Declared,S08,India
Chikkodi,1,CHIKKODI(1),PRIYANKA SATISH JARKIHOLI,ANNASAHEB SHANKAR JOLLE,90834,Result Declared,S10,India
Adilabad,1,ADILABAD(1),GODAM NAGESH,ATHRAM SUGUNA,90652,Result Declared,S29,India
Anand,16,ANAND(16),MITESH PATEL (BAKABHAI),AMIT CHAVDA,89939,Result Declared,S06,India
Sitapur,30,SITAPUR(30),RAKESH RATHOR,RAJESH VERMA,89641,Result Declared,S24,India
Vaishali,16,VAISHALI(16),VEENA DEVI,VIJAY KUMAR SHUKLA,89634,Result Declared,S04,India
Chandni Chowk,1,CHANDNICHOWK(1),PRAVEEN KHANDELWAL,JAI PRAKASH AGARWAL,89325,Result Declared,U05,India
Firozabad,20,FIROZABAD(20),AKSHAYA YADAV,VISHWADEEP SINGH,89312,Result Declared,S24,India
Purvi Champaran,3,PURVICHAMPARAN(3),RADHA MOHAN SINGH,DR RAJESH KUMAR,88287,Result Declared,S04,India
GANGANAGAR,1,GANGANAGAR(1),KULDEEP INDORA,PRIYANKA BALAN MEGHWAL,88153,Result Declared,S20,India
Nabarangpur,12,NABARANGPUR(12),BALABHADRA MAJHI,PRADEEP KUMAR MAJHI,87536,Result Declared,S18,India
Rampur,7,RAMPUR(7),MOHIBBULLAH,GHANSHYAM SINGH LODHI,87434,Result Declared,S24,India
Kottayam,14,KOTTAYAM(14),ADV K FRANCIS GEORGE,THOMAS CHAZHIKADAN,87266,Result Declared,S11,India
Jalpaiguri,3,JALPAIGURI(3),DR JAYANTA KUMAR ROY,NIRMAL CHANDRA ROY,86693,Result Declared,S25,India
Bharuch,22,BHARUCH(22),MANSUKHBHAI DHANJIBHAI VASAVA,CHAITARBHAI DAMJIBHAI VASAVA,85696,Result Declared,S06,India
Outer Manipur,2,OUTERMANIPUR(2),ALFRED KANNGAM S ARTHUR,KACHUI TIMOTHY ZIMIK,85418,Result Declared,S14,India
Patliputra,31,PATLIPUTRA(31),MISHA BHARTI,RAM KRIPAL YADAV,85174,Result Declared,S04,India
Baharampur,10,BAHARAMPUR(10),PATHAN YUSUF,ADHIR RANJAN CHOWDHURY,85022,Result Declared,S25,India
SATNA,9,SATNA(9),GANESH SINGH,DABBU SIDDHARTH SUKHLAL KUSHWAHA,84949,Result Declared,S12,India
Gurdaspur,1,GURDASPUR(1),SUKHJINDER SINGH RANDHAWA,DINESH SINGH BABBU,82861,Result Declared,S19,India
Raigad,32,RAIGAD(32),TATKARE SUNIL DATTATREY,ANANT GEETE,82784,Result Declared,S13,India
Kushi Nagar,65,KUSHINAGAR(65),VIJAY KUMAR DUBAY,AJAY PRATAP SINGH URF PINTU SAITHWAR,81790,Result Declared,S24,India
Wardha,8,WARDHA(8),AMAR SHARADRAO KALE,RAMDAS CHANDRABHAN TADAS,81648,Result Declared,S13,India
Begusarai,24,BEGUSARAI(24),GIRIRAJ SINGH,ABDHESH KUMAR ROY,81480,Result Declared,S04,India
Giridih,6,GIRIDIH(6),CHANDRA PRAKASH CHOUDHARY,MATHURA PRASAD MAHATO,80880,Result Declared,S27,India
Munger,28,MUNGER(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,KUMARI ANITA,80870,Result Declared,S04,India
Sikkim,1,SIKKIM(1),INDRA HANG SUBBA,BHARAT BASNETT,80830,Result Declared,S21,India
Raichur,6,RAICHUR(6),G. KUMAR NAIK.,RAJA AMARESHWARA NAIK.,79781,Result Declared,S10,India
Aurangabad,37,AURANGABAD(37),ABHAY KUMAR SINHA,SUSHIL KUMAR SINGH,79111,Result Declared,S04,India
New Delhi,4,NEWDELHI(4),BANSURI SWARAJ,SOMNATH BHARTI,78370,Result Declared,U05,India
Tamluk,30,TAMLUK(30),ABHIJIT GANGOPADHYAY,DEBANGSHU BHATTACHARYA,77733,Result Declared,S25,India
Maldaha Uttar,7,MALDAHAUTTAR(7),KHAGEN MURMU,PRASUN BANERJEE,77708,Result Declared,S25,India
Bijapur,4,BIJAPUR(4),RAMESH JIGAJINAGI,RAJU ALAGUR.,77229,Result Declared,S10,India
Hooghly,28,HOOGHLY(28),RACHNA BANERJEE,LOCKET CHATTERJEE,76853,Result Declared,S25,India
Ramtek,9,RAMTEK(9),Shyamkumar (Babalu) Daulat Barve,RAJU DEONATH PARVE,76768,Result Declared,S13,India
Shrawasti,58,SHRAWASTI(58),RAM SHIROMANI VERMA,SAKET MISRA,76673,Result Declared,S24,India
Dhenkanal,9,DHENKANAL(9),RUDRA NARAYAN PANY,ABINASH SAMAL,76567,Result Declared,S18,India
Rajampet,24,RAJAMPET(24),P V MIDHUN REDDY,NALLARI KIRAN KUMAR REDDY,76071,Result Declared,S01,India
Alipurduars,2,ALIPURDUARS(2),MANOJ TIGGA,PRAKASH CHIK BARAIK,75447,Result Declared,S25,India
Palakkad,8,PALAKKAD(8),V K SREEKANDAN,A VIJAYARAGHAVAN,75283,Result Declared,S11,India
GURGAON,9,GURGAON(9),RAO INDERJIT SINGH,RAJ BABBAR,75079,Result Declared,S07,India
MANDI,2,MANDI(2),KANGNA RANAUT,VIKRAMADITYA SINGH,74755,Result Declared,S08,India
Thrissur,10,THRISSUR(10),SURESH GOPI,ADV V S SUNILKUMAR,74686,Result Declared,S11,India
Solapur,42,SOLAPUR(42),PRANITI SUSHILKUMAR SHINDE,RAM VITTHAL SATPUTE,74197,Result Declared,S13,India
Bangaon,14,BANGAON(14),SHANTANU THAKUR,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,73693,Result Declared,S25,India
SIKAR,5,SIKAR(5),AMRARAM,SUMEDHANAND SARASWATI,72896,Result Declared,S20,India
CHURU,3,CHURU(3),RAHUL KASWAN,DEVENDRA JHAJHARIA,72737,Result Declared,S20,India
Kolar,28,KOLAR(28),M. MALLESH BABU,K V GOWTHAM,71388,Result Declared,S10,India
Banda,48,BANDA(48),KRISHNA DEVI SHIVSHANKER PATEL,R. K. SINGH PATEL,71210,Result Declared,S24,India
VILUPPURAM,13,VILUPPURAM(13),RAVIKUMAR. D,BHAGYARAJ. J,70703,Result Declared,S22,India
Dum dum,16,DUMDUM(16),SOUGATA RAY,SILBHADRA DATTA,70660,Result Declared,S25,India
SALEM,15,SALEM(15),SELVAGANAPATHI T M,VIGNESH P,70357,Result Declared,S22,India
Mohanlalganj,34,MOHANLALGANJ(34),R.K. CHAUDHARY,KAUSHAL KISHORE,70292,Result Declared,S24,India
GWALIOR,3,GWALIOR(3),BHARAT SINGH KUSHWAH,PRAVEEN PATHAK,70210,Result Declared,S12,India
Faridkot,9,FARIDKOT(9),SARABJEET SINGH KHALSA,KARAMJIT SINGH ANMOL,70053,Result Declared,S19,India
Kairana,2,KAIRANA(2),IQRA CHOUDHARY,PRADEEP KUMAR,69116,Result Declared,S24,India
Bagalkot,3,BAGALKOT(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,SAMYUKTA SHIVANAND PATIL,68399,Result Declared,S10,India
MIZORAM,1,MIZORAM(1),RICHARD VANLALHMANGAIHA,K VANLALVENA,68288,Result Declared,S16,India
Raiganj,5,RAIGANJ(5),KARTICK CHANDRA PAUL,KALYANI KRISHNA,68197,Result Declared,S25,India
Nawada,39,NAWADA(39),VIVEK THAKUR,SHRAWAN KUMAR,67670,Result Declared,S04,India
Kendrapara,15,KENDRAPARA(15),BAIJAYANT PANDA,ANSHUMAN MOHANTY,66536,Result Declared,S18,India
Pratapgarh,39,PRATAPGARH(39),SHIV PAL SINGH PATEL (DR. S P SINGH),SANGAM LAL GUPTA,66206,Result Declared,S24,India
Bhiwandi,23,BHIWANDI(23),BALYA MAMA - SURESH GOPINATH MHATRE,KAPIL MORESHWAR PATIL,66121,Result Declared,S13,India
Pathanamthitta,17,PATHANAMTHITTA(17),ANTO ANTONY,DR.T.M.THOMAS ISSAC,66119,Result Declared,S11,India
TONK-SAWAI MADHOPUR,12,TONK-SAWAIMADHOPUR(12),HARISH CHANDRA MEENA,SUKHBIR SINGH JAUNAPURIA,64949,Result Declared,S20,India
BHIND,2,BHIND(2),SANDHYA RAY,PHOOL SINGH BARAIYA,64840,Result Declared,S12,India
SURGUJA,1,SURGUJA(1),CHINTAMANI MAHARAJ,SHASHI SINGH KORAM,64822,Result Declared,S26,India
Saharanpur,1,SAHARANPUR(1),IMRAN MASOOD,RAGHAV LAKHANPAL,64542,Result Declared,S24,India
Barrackpur,15,BARRACKPUR(15),PARTHA BHOWMICK,ARJUN SINGH,64438,Result Declared,S25,India
Baharaich,56,BAHARAICH(56),ANAND KUMAR,RAMESH CHANDRA,64227,Result Declared,S24,India
Chalakudy,11,CHALAKUDY(11),BENNY BEHANAN,PROF C RAVEENDRANATH,63754,Result Declared,S11,India
Alappuzha,15,ALAPPUZHA(15),K. C VENUGOPAL,A. M ARIFF,63513,Result Declared,S11,India
HISAR,4,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,RANJIT SINGH,63381,Result Declared,S07,India
Kadapa,21,KADAPA(21),Y. S. AVINASH REDDY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,62695,Result Declared,S01,India
Latur,41,LATUR(41),DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE,61881,Result Declared,S13,India
Ujiarpur,22,UJIARPUR(22),NITYANAND RAI,ALOK KUMAR MEHTA,60102,Result Declared,S04,India
JANJGIR-CHAMPA,3,JANJGIR-CHAMPA(3),KAMLESH JANGDE,DR. SHIVKUMAR DAHARIYA,60000,Result Declared,S26,India
Arrah,32,ARRAH(32),SUDAMA PRASAD,R. K. SINGH,59808,Result Declared,S04,India
Kishanganj,10,KISHANGANJ(10),MOHAMMAD JAWED,MUJAHID ALAM,59692,Result Declared,S04,India
Asansol,40,ASANSOL(40),SHATRUGHAN PRASAD SINHA,SURENDRAJEET SINGH AHLUWALIA,59564,Result Declared,S25,India
Nanded,16,NANDED(16),CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO,59442,Result Declared,S13,India
Allahabad,52,ALLAHABAD(52),UJJWAL RAMAN SINGH,NEERAJ TRIPATHI,58795,Result Declared,S24,India
Etawah,41,ETAWAH(41),JITENDRA KUMAR DOHARE,DR RAM SHANKAR KATHERIA,58419,Result Declared,S24,India
Dadar & Nagar Haveli,2,DADAR&NAGARHAVELI(2),DELKAR KALABEN MOHANBHAI,AJIT RAMJIBHAI MAHALA,57584,Result Declared,U03,India
Cuttack,14,CUTTACK(14),BHARTRUHARI MAHTAB,SANTRUPT MISRA,57077,Result Declared,S18,India
Krishnanagar,12,KRISHNANAGAR(12),MAHUA MOITRA,AMRITA ROY,56705,Result Declared,S25,India
BIKANER,2,BIKANER(2),ARJUN RAM MEGHWAL,GOVINDRAM MEGHWAL,55711,Result Declared,S20,India
Shahjahanpur,27,SHAHJAHANPUR(27),ARUN KUMAR SAGAR,JYOTSNA GOND,55379,Result Declared,S24,India
BASTAR,10,BASTAR(10),MAHESH KASHYAP,KAWASI LAKHMA,55245,Result Declared,S26,India
Faizabad,54,FAIZABAD(54),AWADHESH PRASAD,LALLU SINGH,54567,Result Declared,S24,India
Jalaun,45,JALAUN(45),NARAYAN DAS AHIRWAR,BHANU PRATAP SINGH VERMA,53898,Result Declared,S24,India
KALLAKURICHI,14,KALLAKURICHI(14),MALAIYARASAN D,KUMARAGURU R,53784,Result Declared,S22,India
Mumbai South Central,30,MUMBAISOUTHCENTRAL(30),ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE,53384,Result Declared,S13,India
Mumbai South,31,MUMBAISOUTH(31),ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV,52673,Result Declared,S13,India
MORENA,1,MORENA(1),SHIVMANGAL SINGH TOMAR,NEETU SATYAPAL SINGH SIKARWAR,52530,Result Declared,S12,India
BHARATPUR,9,BHARATPUR(9),SANJNA JATAV,RAMSWAROOP KOLI,51983,Result Declared,S20,India
Kokrajhar,1,KOKRAJHAR(1),JOYANTA BASUMATARY,KAMPA BORGOYARI,51583,Result Declared,S03,India
Sitamarhi,5,SITAMARHI(5),DEVESH CHANDRA THAKUR,ARJUN RAY,51356,Result Declared,S04,India
Nagaland,1,NAGALAND(1),S SUPONGMEREN JAMIR,DR CHUMBEN MURRY,50984,Result Declared,S17,India
Araku (ST),1,ARAKU(ST)(1),GUMMA THANUJA RANI,KOTHAPALLI GEETHA,50580,Result Declared,S01,India
Shirdi,38,SHIRDI(38),BHAUSAHEB RAJARAM WAKCHAURE,LOKHANDE SADASHIV KISAN,50529,Result Declared,S13,India
Ongole,16,ONGOLE(16),MAGUNTA SREENIVASULU REDDY,DR CHEVIREDDY BHASKAR REDD,50199,Result Declared,S01,India
Secunderabad,8,SECUNDERABAD(8),G. KISHAN REDDY,DANAM NAGENDER,49944,Result Declared,S29,India
Katihar,11,KATIHAR(11),TARIQ ANWAR,DULAL CHANDRA GOSWAMI,49863,Result Declared,S04,India
Bathinda,11,BATHINDA(11),HARSIMRAT KAUR BADAL,GURMEET SINGH KHUDIAN,49656,Result Declared,S19,India
AMBALA,1,AMBALA(1),VARUN CHAUDHRY,BANTO KATARIA,49036,Result Declared,S07,India
ALWAR,8,ALWAR(8),BHUPENDER YADAV,LALIT YADAV,48282,Result Declared,S20,India
Chitradurga,18,CHITRADURGA(18),GOVIND MAKTHAPPA KARJOL,B.N.CHANDRAPPA,48121,Result Declared,S10,India
Ratnagiri- Sindhudurg,46,RATNAGIRI-SINDHUDURG(46),NARAYAN TATU RANE,VINAYAK BHAURAO RAUT,47858,Result Declared,S13,India
Kanthi,31,KANTHI(31),ADHIKARI SOUMENDU,UTTAM BARIK SON OF LATE BIRENDRA BARIK,47764,Result Declared,S25,India
Koppal,8,KOPPAL(8),K. RAJASHEKAR BASAVARAJ HITNAL,DR . BASAVARAJ. K. SHARANAPPA,46357,Result Declared,S10,India
