Insurance Policy,,,,,,,Managed by : Rohit Kapoor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
TRS-POL-333781,06-08-2019,06-Aug-25,20,06-Aug-19,CUST-844009,1675440.95,53130.05,Annually,No,602971.71,2296.16,AGT-1909,August,Q3,2019,06-Aug-20,CLM-890428,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-365574,03-04-2021,03-Apr-25,20,03-Apr-21,CUST-860402,1659667.04,19947.46,Annually,Yes,785222.89,3529.78,AGT-1909,April,Q2,2021,03-Apr-22,CLM-533168,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-379587,08-12-2015,08-Dec-25,20,08-Dec-15,CUST-763474,1907646.47,18534.92,Quarterly,No,824609.49,2715.23,AGT-1909,December,Q4,2015,08-Dec-16,CLM-396870,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-548463,28-08-2015,28-Aug-25,20,28-Aug-15,CUST-503071,1904750.56,6450.99,Quarterly,Yes,993583.01,2538.01,AGT-1909,August,Q3,2015,28-Aug-16,CLM-304192,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-278617,01-01-2016,01-Jan-25,20,01-Jan-16,CUST-919705,1379054.35,42339.98,Annually,No,779025.8,3171.46,AGT-1909,January,Q1,2016,01-Jan-17,CLM-322273,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-974727,24-11-2017,24-Nov-25,20,24-Nov-17,CUST-387225,1477381.5,90694.32,Quarterly,Yes,849924.7,1940.72,AGT-1909,November,Q4,2017,24-Nov-18,CLM-574735,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-377101,04-05-2018,04-May-25,20,04-May-18,CUST-510753,1876974.24,74135.28,Annually,No,1120403.36,8317.84,AGT-1909,May,Q2,2018,04-May-19,CLM-602176,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-439395,06-02-2018,06-Feb-25,20,06-Feb-18,CUST-451762,854556.99,66204.21,Monthly,Yes,440512.54,9455.21,AGT-1909,February,Q1,2018,06-Feb-19,CLM-460538,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-847393,26-03-2022,26-Mar-25,20,26-Mar-22,CUST-340284,1312423.83,81003.57,Monthly,Yes,506385.37,3219.7,AGT-1909,March,Q1,2022,26-Mar-23,CLM-163891,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-539636,18-04-2023,18-Apr-25,20,18-Apr-23,CUST-176641,1081576.86,38961.81,Annually,No,608200.05,8054.08,AGT-1909,April,Q2,2023,18-Apr-24,CLM-896505,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-793883,24-03-2019,24-Mar-25,20,24-Mar-19,CUST-937408,1553372.81,11476.78,Quarterly,No,493626.01,2514.68,AGT-1909,March,Q1,2019,24-Mar-20,CLM-522092,TR-UNCD988,UGP-TRCD-9834,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-734737,15-09-2017,15-Sep-25,20,15-Sep-17,CUST-773183,525264.37,67661.23,Quarterly,Yes,171391.89,718.32,AGT-1900,September,Q3,2017,15-Sep-18,CLM-148748,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-192630,08-02-2024,08-Feb-24,20,16-Jul-25,CUST-657921,301347.65,35381.72,Quarterly,No,167513.62,9177,AGT-1900,July,Q3,2025,16-Jul-26,CLM-112068,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-414298,25-10-2024,25-Oct-25,20,25-Oct-24,CUST-795677,1682100.76,32360.94,Annually,Yes,575139.98,8190.28,AGT-1900,October,Q4,2024,25-Oct-25,CLM-824914,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-812994,08-12-2020,08-Dec-25,20,08-Dec-20,CUST-453355,1466636.6,64916.9,Monthly,No,500589.23,8412.53,AGT-1900,December,Q4,2020,08-Dec-21,CLM-566881,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-501353,30-12-2020,30-Dec-25,20,30-Dec-20,CUST-251430,431303.74,93847.66,Quarterly,No,165673.91,5108.51,AGT-1900,December,Q4,2020,30-Dec-21,CLM-741655,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-901256,07-02-2016,07-Feb-25,20,07-Feb-16,CUST-155980,689907.68,13899.74,Annually,Yes,302909.69,1770.83,AGT-1900,February,Q1,2016,07-Feb-17,CLM-794749,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-112845,18-07-2020,18-Jul-25,20,18-Jul-20,CUST-367089,1573850.4,10086.37,Quarterly,No,673125.29,1603.37,AGT-1900,July,Q3,2020,18-Jul-21,CLM-821634,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-540855,06-10-2018,06-Oct-25,20,06-Oct-18,CUST-526359,618494.8,42012.75,Monthly,No,231754.79,3286.85,AGT-1900,October,Q4,2018,06-Oct-19,CLM-298993,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-935828,19-04-2021,19-Apr-25,20,19-Apr-21,CUST-816382,875525.68,73573.02,Annually,No,372439.16,7125.42,AGT-1900,April,Q2,2021,19-Apr-22,CLM-791361,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-323722,08-11-2020,08-Nov-25,20,08-Nov-20,CUST-336997,658417.94,96659.84,Monthly,Yes,229827.91,1223.38,AGT-1900,November,Q4,2020,08-Nov-21,CLM-981940,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-403851,01-09-2015,01-Sep-25,20,01-Sep-15,CUST-927949,781316.12,32908.09,Annually,No,403267.46,7805.34,AGT-1900,September,Q3,2015,01-Sep-16,CLM-460616,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-172537,14-02-2018,14-Feb-25,20,14-Feb-18,CUST-674963,156597.51,81610.91,Quarterly,Yes,88633.42,3713.33,AGT-1900,February,Q1,2018,14-Feb-19,CLM-436693,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-887027,08-02-2024,08-Feb-24,20,08-Jan-25,CUST-576602,1061883.42,67456.1,Quarterly,No,383172.67,7838.02,AGT-1900,January,Q1,2025,08-Jan-26,CLM-552838,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-344255,02-10-2022,02-Oct-25,20,02-Oct-22,CUST-102796,480068.67,42472.75,Quarterly,No,265513.24,3746.37,AGT-1900,October,Q4,2022,02-Oct-23,CLM-191145,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-967422,23-03-2017,23-Mar-25,20,23-Mar-17,CUST-496807,1341664.35,68119.89,Annually,No,417768.65,7196.78,AGT-1900,March,Q1,2017,23-Mar-18,CLM-887236,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-200309,27-08-2020,27-Aug-25,20,27-Aug-20,CUST-662342,1001592.29,61645.82,Annually,Yes,423483.4,7668.36,AGT-1900,August,Q3,2020,27-Aug-21,CLM-812815,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-233540,26-03-2018,26-Mar-25,20,26-Mar-18,CUST-814661,1331962.96,20928.63,Quarterly,Yes,731008.55,2450.08,AGT-1900,March,Q1,2018,26-Mar-19,CLM-687943,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-722620,19-10-2016,19-Oct-25,20,19-Oct-16,CUST-810364,340253.85,17725.14,Monthly,No,103944.48,3622.54,AGT-1900,October,Q4,2016,19-Oct-17,CLM-418037,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-793409,01-02-2023,01-Feb-25,20,01-Feb-23,CUST-605509,1317302.45,94561.67,Monthly,Yes,582223.43,2313.38,AGT-1900,February,Q1,2023,01-Feb-24,CLM-843033,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-486777,08-02-2024,08-Feb-24,20,03-May-25,CUST-926390,1615150.85,78498.04,Monthly,Yes,640121.64,8514.35,AGT-1900,May,Q2,2025,03-May-26,CLM-460865,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-625444,05-06-2021,05-Jun-25,20,05-Jun-21,CUST-319510,958782.63,57586.62,Quarterly,No,423434.51,3957.94,AGT-1900,June,Q2,2021,05-Jun-22,CLM-603598,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-441742,21-05-2024,21-May-25,20,21-May-24,CUST-851543,1197156.14,66450.05,Quarterly,No,672203.77,841.82,AGT-1900,May,Q2,2024,21-May-25,CLM-224993,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-306735,21-07-2022,21-Jul-25,20,21-Jul-22,CUST-642627,929841.99,53210.13,Quarterly,Yes,435918.91,1472.46,AGT-1900,July,Q3,2022,21-Jul-23,CLM-465156,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-364482,03-03-2021,03-Mar-25,20,03-Mar-21,CUST-444526,1899311.24,65776.57,Annually,No,642403.26,564.52,AGT-1900,March,Q1,2021,03-Mar-22,CLM-868741,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-265876,23-02-2021,23-Feb-25,20,23-Feb-21,CUST-308794,968654.8,98180.03,Quarterly,Yes,563585.05,5606.13,AGT-1900,February,Q1,2021,23-Feb-22,CLM-427518,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-148246,20-11-2016,20-Nov-25,20,20-Nov-16,CUST-289962,210183.18,62063.92,Annually,Yes,98229.38,9874.34,AGT-1900,November,Q4,2016,20-Nov-17,CLM-668070,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-281651,09-05-2024,09-May-25,20,09-May-24,CUST-682744,1324785.62,75410.87,Quarterly,Yes,607568.73,3146.8,AGT-1900,May,Q2,2024,09-May-25,CLM-380553,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-294443,01-10-2018,01-Oct-25,20,01-Oct-18,CUST-447473,909249.73,59466.68,Annually,No,498806.15,1768.59,AGT-1900,October,Q4,2018,01-Oct-19,CLM-542229,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-916235,20-12-2021,20-Dec-25,20,20-Dec-21,CUST-722897,395505.3,12475.24,Monthly,No,160743.13,8335.25,AGT-1900,December,Q4,2021,20-Dec-22,CLM-771291,TR-UNCD988,UGP-TRCD-9834,Active,West Bengal,RME2D5Q4,ZMW3T7P8
TRS-POL-943899,17-11-2017,17-Nov-25,20,17-Nov-17,CUST-583556,550205.27,95567.79,Annually,No,296927.05,9046.02,AGT-2109,November,Q4,2017,17-Nov-18,CLM-825066,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-990788,08-03-2018,08-Mar-25,20,08-Mar-18,CUST-640420,1751740.71,32533.51,Monthly,Yes,927474.2,7849.39,AGT-2109,March,Q1,2018,08-Mar-19,CLM-715854,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-536056,24-01-2016,24-Jan-25,20,24-Jan-16,CUST-467408,1480884.41,89378.04,Quarterly,Yes,493784.24,3010.6,AGT-2109,January,Q1,2016,24-Jan-17,CLM-467975,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-745826,28-10-2022,28-Oct-25,20,28-Oct-22,CUST-130032,1051824.88,17962.57,Quarterly,Yes,553883.59,3108.1,AGT-2109,October,Q4,2022,28-Oct-23,CLM-372953,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-723608,07-06-2020,07-Jun-25,20,07-Jun-20,CUST-483441,294664.7,93450.16,Quarterly,No,94635.46,7156.44,AGT-2109,June,Q2,2020,07-Jun-21,CLM-772468,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-375332,08-02-2024,08-Feb-24,20,17-Jan-25,CUST-384267,515706.49,59149.61,Monthly,No,157884.87,4091.11,AGT-2109,January,Q1,2025,17-Jan-26,CLM-129569,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-853764,19-03-2016,19-Mar-25,20,19-Mar-16,CUST-197525,1541204.36,23072.72,Annually,No,617181,4324.25,AGT-2109,March,Q1,2016,19-Mar-17,CLM-817793,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-152068,25-10-2023,25-Oct-25,20,25-Oct-23,CUST-442948,1130681.05,17608.01,Annually,No,625306.73,6938.86,AGT-2109,October,Q4,2023,25-Oct-24,CLM-303581,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-164981,08-03-2024,08-Mar-24,20,06-Jan-25,CUST-557415,529844.65,14814.44,Annually,Yes,165202.51,7189.33,AGT-2109,January,Q1,2025,06-Jan-26,CLM-999568,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-684278,03-09-2017,03-Sep-25,20,03-Sep-17,CUST-278828,1681770.17,42450.69,Annually,Yes,969509.76,1021.06,AGT-2109,September,Q3,2017,03-Sep-18,CLM-604278,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-711829,20-07-2018,20-Jul-25,20,20-Jul-18,CUST-140586,1328195.34,43802.74,Quarterly,No,621086.46,6789.7,AGT-2109,July,Q3,2018,20-Jul-19,CLM-205288,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-377644,14-07-2019,14-Jul-25,20,14-Jul-19,CUST-711468,1420795.67,51530.17,Annually,No,652068.6,8997.91,AGT-2109,July,Q3,2019,14-Jul-20,CLM-588862,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-708146,21-08-2022,21-Aug-25,20,21-Aug-22,CUST-838700,768814.71,76026.99,Quarterly,Yes,275664.83,6682.43,AGT-2109,August,Q3,2022,21-Aug-23,CLM-993663,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-990811,04-03-2016,04-Mar-25,20,04-Mar-16,CUST-103543,1957940.12,95394.76,Annually,No,980382.29,8694.42,AGT-2109,March,Q1,2016,04-Mar-17,CLM-720799,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-483987,01-03-2022,01-Mar-25,20,01-Mar-22,CUST-596591,889357.28,20592.01,Monthly,No,324399.87,9635.51,AGT-2109,March,Q1,2022,01-Mar-23,CLM-209183,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-390154,29-05-2020,29-May-25,20,29-May-20,CUST-354944,923311.83,87724.28,Quarterly,No,278433.01,2508.8,AGT-2109,May,Q2,2020,29-May-21,CLM-923114,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-166541,12-09-2024,12-Sep-25,20,12-Sep-24,CUST-559954,1786576.56,39728.92,Monthly,Yes,721832.86,3987.73,AGT-2109,September,Q3,2024,12-Sep-25,CLM-760413,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-174543,01-10-2015,01-Oct-25,20,01-Oct-15,CUST-941879,438567.33,81116.08,Annually,Yes,260228.28,8601.61,AGT-2109,October,Q4,2015,01-Oct-16,CLM-906111,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-335613,22-10-2020,22-Oct-25,20,22-Oct-20,CUST-909916,1184490.98,92534.28,Quarterly,Yes,404880.84,6567.56,AGT-2109,October,Q4,2020,22-Oct-21,CLM-906735,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-412420,09-12-2015,09-Dec-25,20,09-Dec-15,CUST-542725,1137541.68,90967.72,Quarterly,No,432122.76,6756.98,AGT-2109,December,Q4,2015,09-Dec-16,CLM-430275,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-212635,08-03-2024,08-Mar-24,20,27-Apr-25,CUST-327848,1821505.85,39213.75,Annually,No,724465.66,8904.5,AGT-2109,April,Q2,2025,27-Apr-26,CLM-546050,TR-UNCD988,UGP-TRCD-9834,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-201922,16-01-2020,16-Jan-25,20,16-Jan-20,CUST-587093,671257,65905.76,Quarterly,Yes,352582.23,1789.79,AGT-3488,January,Q1,2020,16-Jan-21,CLM-459866,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-562415,23-11-2015,23-Nov-25,20,23-Nov-15,CUST-276878,108258.66,48754.2,Quarterly,Yes,51158.37,8692.28,AGT-3488,November,Q4,2015,23-Nov-16,CLM-800410,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-797677,08-04-2018,08-Apr-25,20,08-Apr-18,CUST-965082,1392852.87,10103.02,Quarterly,No,467232.62,6046.03,AGT-3488,April,Q2,2018,08-Apr-19,CLM-382934,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-576897,22-11-2016,22-Nov-25,20,22-Nov-16,CUST-307304,1576585.92,49905.3,Annually,No,844421.28,5790,AGT-3488,November,Q4,2016,22-Nov-17,CLM-519017,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-110217,08-03-2024,08-Mar-24,20,24-Jan-25,CUST-478267,1968495.3,45800.75,Monthly,No,818086.82,7940.92,AGT-3488,January,Q1,2025,24-Jan-26,CLM-419379,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-713216,28-04-2018,28-Apr-25,20,28-Apr-18,CUST-309602,493442.91,93617.61,Monthly,No,160191.4,506.36,AGT-3488,April,Q2,2018,28-Apr-19,CLM-216844,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-594310,01-11-2017,01-Nov-25,20,01-Nov-17,CUST-123240,732280.76,82980.6,Monthly,Yes,248815.67,3720.2,AGT-3488,November,Q4,2017,01-Nov-18,CLM-406076,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-388579,05-01-2021,05-Jan-25,20,05-Jan-21,CUST-788755,1663310.8,36043.28,Quarterly,Yes,857072.9,4864.43,AGT-3488,January,Q1,2021,05-Jan-22,CLM-141355,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-470897,08-03-2024,08-Mar-24,20,01-Mar-25,CUST-863502,1909163.79,80822.82,Quarterly,No,763542.45,6261.34,AGT-3488,March,Q1,2025,01-Mar-26,CLM-349233,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-124573,15-03-2024,15-Mar-25,20,15-Mar-24,CUST-471302,1300279.79,61030.78,Monthly,No,690200.94,699.18,AGT-3488,March,Q1,2024,15-Mar-25,CLM-843691,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-565282,02-06-2022,02-Jun-25,20,02-Jun-22,CUST-947410,727389.13,87746.22,Annually,Yes,223902.12,9423.28,AGT-3488,June,Q2,2022,02-Jun-23,CLM-647540,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-596168,30-10-2024,30-Oct-25,20,30-Oct-24,CUST-311845,936486.47,8475.65,Annually,No,439612.81,8817.25,AGT-3488,October,Q4,2024,30-Oct-25,CLM-758204,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-249928,03-12-2015,03-Dec-25,20,03-Dec-15,CUST-114844,1499240.42,61422.69,Annually,Yes,778631.9,5212.11,AGT-3488,December,Q4,2015,03-Dec-16,CLM-833040,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-999734,14-04-2018,14-Apr-25,20,14-Apr-18,CUST-859117,1314582.32,18257.5,Annually,No,494993.13,3198.83,AGT-3488,April,Q2,2018,14-Apr-19,CLM-801885,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-747668,08-03-2024,08-Mar-24,20,14-Apr-25,CUST-119787,1870820.55,65939.04,Quarterly,No,1121475.55,2968.15,AGT-3488,April,Q2,2025,14-Apr-26,CLM-828996,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-713853,17-03-2022,17-Mar-25,20,17-Mar-22,CUST-283280,1576775.37,89121.44,Annually,Yes,721943.46,2045.39,AGT-3488,March,Q1,2022,17-Mar-23,CLM-802433,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-719515,23-11-2016,23-Nov-25,20,23-Nov-16,CUST-614880,316181,63574.94,Quarterly,No,140265.61,6562.4,AGT-3488,November,Q4,2016,23-Nov-17,CLM-603632,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-584467,25-02-2022,25-Feb-25,20,25-Feb-22,CUST-790543,711206.66,23070.43,Quarterly,Yes,268909.86,9836.78,AGT-3488,February,Q1,2022,25-Feb-23,CLM-215695,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-827533,04-12-2019,04-Dec-25,20,04-Dec-19,CUST-570088,1637589.56,95753.41,Quarterly,No,528746.13,8629.94,AGT-3488,December,Q4,2019,04-Dec-20,CLM-380202,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-581401,11-03-2024,11-Mar-25,20,11-Mar-24,CUST-901294,409047.37,97212.19,Annually,Yes,196522.21,9672.8,AGT-3488,March,Q1,2024,11-Mar-25,CLM-994954,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-255509,08-12-2020,08-Dec-25,20,08-Dec-20,CUST-363520,1705103.15,17546.39,Monthly,No,974264.84,4835.7,AGT-3488,December,Q4,2020,08-Dec-21,CLM-504386,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-444935,13-05-2016,13-May-25,20,13-May-16,CUST-746209,336912.33,24924.47,Annually,Yes,166332.34,3073.17,AGT-3488,May,Q2,2016,13-May-17,CLM-173172,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-152201,30-10-2015,30-Oct-25,20,30-Oct-15,CUST-710661,1035404.46,29515,Monthly,Yes,344796.25,6796.98,AGT-3488,October,Q4,2015,30-Oct-16,CLM-216636,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-289084,23-04-2022,23-Apr-25,20,23-Apr-22,CUST-559480,1885561.36,24908.82,Quarterly,No,1107742.11,6687.56,AGT-3488,April,Q2,2022,23-Apr-23,CLM-925129,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-944991,24-04-2017,24-Apr-25,20,24-Apr-17,CUST-332192,300127.39,80505.8,Monthly,No,170317.92,5500.93,AGT-3488,April,Q2,2017,24-Apr-18,CLM-995705,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-995626,10-07-2017,10-Jul-25,20,10-Jul-17,CUST-579574,1643169.17,83985.85,Monthly,Yes,711002.09,8647.6,AGT-3488,July,Q3,2017,10-Jul-18,CLM-899162,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-869677,08-03-2024,08-Mar-24,20,11-Jul-25,CUST-505302,1556714.82,16118.28,Quarterly,No,673611.69,1362.94,AGT-3488,July,Q3,2025,11-Jul-26,CLM-923025,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-244165,11-06-2021,11-Jun-25,20,11-Jun-21,CUST-351771,1066158.56,72650.17,Annually,Yes,322882.68,574.39,AGT-3488,June,Q2,2021,11-Jun-22,CLM-547728,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-685876,14-08-2023,14-Aug-25,20,14-Aug-23,CUST-424576,1500664.41,31706.32,Quarterly,Yes,853049.88,8752.33,AGT-3488,August,Q3,2023,14-Aug-24,CLM-687452,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
TRS-POL-223196,20-11-2018,20-Nov-25,20,20-Nov-18,CUST-526450,352207.03,31598.86,Quarterly,No,122468.58,4581.11,AGT-3488,November,Q4,2018,20-Nov-19,CLM-250717,TR-UNCD988,UGP-TRCD-9834,Active,Sikkim,RME2D5Q4,ZMW3T7P8
